filename,verdict,ground_truth,failure_mode,reason,latency_ms,border_content_ratio,contrast,fft_asymmetry,fft_hf_ratio,glare_ratio,laplacian_p95,laplacian_var,mean_brightness,tenengrad,wavelet_hh_energy
IMG-20260526-WA0141.jpg,usable,usable,none,image is acceptable,22.67,0.0931,62.64,0.0,0.01,0.0003,3693.32,1477.33,145.01,60.94,44.32
IMG-20260526-WA0142.jpg,usable,usable,none,image is acceptable,22.67,0.2024,59.99,0.0,0.01,0.0001,3498.9,1399.56,148.69,59.72,41.99
IMG-20260526-WA0143.jpg,usable,borderline,defocus,image is acceptable,21.47,0.1635,62.6,0.0,0.01,0.0001,3463.5,1385.4,142.58,61.05,41.56
IMG-20260526-WA0144.jpg,usable,usable,none,image is acceptable,21.22,0.1416,62.89,0.0,0.01,0.0036,4131.58,1652.63,155.35,64.81,49.58
IMG-20260526-WA0145.jpg,usable,usable,none,image is acceptable,23.09,0.236,63.95,0.0,0.01,0.0012,5174.65,2069.86,153.45,72.68,62.1
IMG-20260526-WA0146.jpg,usable,usable,none,image is acceptable,21.12,0.2448,64.47,0.0,0.01,0.0001,4396.35,1758.54,143.57,64.88,52.76
IMG-20260526-WA0147.jpg,usable,usable,none,image is acceptable,61.92,0.1601,60.93,0.0,0.01,0.0003,3856.6,1542.64,152.11,60.33,46.28
IMG-20260526-WA0148.jpg,usable,borderline,defocus,image is acceptable,24.01,0.2107,64.77,0.0,0.01,0.0002,3739.95,1495.98,143.52,62.24,44.88
IMG-20260526-WA0149.jpg,usable,usable,none,image is acceptable,21.93,0.2072,61.96,0.0,0.01,0.0005,4224.6,1689.84,149.28,66.68,50.7
IMG-20260526-WA0150.jpg,usable,usable,none,image is acceptable,20.73,0.0684,64.65,0.0,0.01,0.0,4056.78,1622.71,136.16,59.95,48.68
IMG-20260526-WA0151.jpg,usable,usable,none,image is acceptable,20.61,0.1069,66.16,0.0,0.01,0.0007,4947.5,1979.0,142.2,70.4,59.37
IMG-20260526-WA0152.jpg,usable,usable,none,image is acceptable,19.48,0.2392,65.5,0.0,0.01,0.0005,4075.98,1630.39,144.22,64.5,48.91
IMG-20260526-WA0153.jpg,usable,usable,none,image is acceptable,19.53,0.2394,66.04,0.0,0.01,0.0001,3537.6,1415.04,141.88,61.0,42.45
IMG-20260526-WA0154.jpg,usable,usable,none,image is acceptable,20.71,0.1333,62.8,0.0,0.01,0.0002,3641.2,1456.48,146.39,59.84,43.69
IMG-20260526-WA0155.jpg,usable,usable,none,image is acceptable,19.28,0.1746,60.55,0.0,0.01,0.0,3358.22,1343.29,145.18,55.65,40.3
IMG-20260526-WA0156.jpg,usable,usable,none,image is acceptable,20.36,0.1847,67.34,0.0,0.01,0.0001,4109.48,1643.79,142.09,64.54,49.31
IMG-20260526-WA0158.jpg,usable,usable,none,image is acceptable,21.3,0.1304,64.73,0.0,0.01,0.0005,4854.78,1941.91,143.92,71.64,58.26
